"pedigree","parent1","parent2","yield","twt","prot","ht"
"MN11015/MN10328","MN11015","MN10328",80.56002203,62.982431532858,14.9103709218178,79.7789688051024
"MN11015/MN10336","MN11015","MN10336",86.985053495,62.482431532858,15.2603709218178,78.9289688051024
"MN11015/MN10369","MN11015","MN10369",78.018565135,62.732431532858,14.5603709218178,77.1289688051024
"MN11015/MN10378","MN11015","MN10378",88.298615485,62.582431532858,14.1603709218178,77.7789688051024
"MN11015/MN10382","MN11015","MN10382",81.55947137,63.332431532858,14.1603709218178,77.2789688051024
"MN11015/MN10389","MN11015","MN10389",87.01360919,62.132431532858,13.8603709218178,78.4289688051024
"MN11015/MN10412","MN11015","MN10412",85.64293581,62.982431532858,14.1103709218178,79.1289688051024
"MN11015/MN10431","MN11015","MN10431",83.015811835,62.932431532858,14.8603709218178,80.9289688051024
"MN11015/MN09028","MN11015","MN09028",83.2157017,62.732431532858,14.3603709218178,83.1289688051024
"MN11015/MN09136","MN11015","MN09136",85.414490245,62.432431532858,14.9603709218178,76.1289688051024
"MN11015/MN09175","MN11015","MN09175",88.584172435,62.732431532858,14.6603709218178,82.7789688051024
"MN11015/MN09229","MN11015","MN09229",82.273363755,62.582431532858,15.1103709218178,78.2789688051024
"MN11015/MN09245","MN11015","MN09245",87.784612965,62.982431532858,14.9603709218178,82.4289688051024
"MN11015/MN09246","MN11015","MN09246",91.18274072,63.432431532858,14.2603709218178,78.7789688051024
"MN11015/Glenn","MN11015","Glenn",79.018014475,64.032431532858,14.3603709218178,83.4289688051024
"MN11015/Norden","MN11015","Norden",79.160792955,62.782431532858,14.9603709218178,79.7789688051024
"MN11015/Linkert","MN11015","Linkert",76.27666772,62.082431532858,15.0103709218178,75.1289688051024
"MN11015/Oklee","MN11015","Oklee",85.1003776,62.832431532858,14.7603709218178,81.4289688051024
"MN11015/Prosper","MN11015","Prosper",90.29751416,62.482431532858,13.7603709218178,84.7789688051024
"MN11015/MN11029","MN11015","MN11029",83.58692574,62.632431532858,14.1603709218178,79.2789688051024
"MN11015/MN11052","MN11015","MN11052",81.131135935,61.932431532858,15.1103709218178,82.1289688051024
"MN11015/MN11064","MN11015","MN11064",86.58527376,61.732431532858,13.8603709218178,74.9289688051024
"MN11015/MN11101","MN11015","MN11101",84.78626495,63.432431532858,14.0603709218178,77.1289688051024
"MN11015/MN11188","MN11015","MN11188",83.758259915,61.382431532858,14.5603709218178,79.7789688051024
"MN11015/MN11234","MN11015","MN11234",85.414490245,62.432431532858,14.2603709218178,79.1289688051024
"MN11015/MN11315","MN11015","MN11315",76.419446195,61.182431532858,15.0603709218178,78.1289688051024
